"continent","country","gdpPercap_1952","gdpPercap_1957","gdpPercap_1962","gdpPercap_1967","gdpPercap_1972","gdpPercap_1977","gdpPercap_1982","gdpPercap_1987","gdpPercap_1992","gdpPercap_1997","gdpPercap_2002","gdpPercap_2007","lifeExp_1952","lifeExp_1957","lifeExp_1962","lifeExp_1967","lifeExp_1972","lifeExp_1977","lifeExp_1982","lifeExp_1987","lifeExp_1992","lifeExp_1997","lifeExp_2002","lifeExp_2007","pop_1952","pop_1957","pop_1962","pop_1967","pop_1972","pop_1977","pop_1982","pop_1987","pop_1992","pop_1997","pop_2002","pop_2007"
"Africa","Algeria",2449.01,3013.98,2550.82,3246.99,4182.66,4910.42,5745.16,5681.36,5023.22,4797.3,5288.04,6223.37,43.077,45.685,48.303,51.407,54.518,58.014,61.368,65.799,67.744,69.152,70.994,72.301,9279520,10270900,11000900,12760500,14760800,17152800,20033800,23255000,26298400,29072000,31287100,33333200
"Africa","Angola",3520.61,3827.94,4269.28,5522.78,5473.29,3008.65,2756.95,2430.21,2627.85,2277.14,2773.29,4797.23,30.015,31.999,34,35.985,37.928,39.483,39.942,39.906,40.647,40.963,41.003,42.731,4232100,4561360,4826020,5247470,5894860,6162680,7016380,7874230,8735990,9875020,10866100,12420500
"Africa","Benin",1062.75,959.601,949.499,1035.83,1085.8,1029.16,1277.9,1225.86,1191.21,1232.98,1372.88,1441.28,38.223,40.358,42.618,44.885,47.014,49.19,50.904,52.337,53.919,54.777,54.406,56.728,1738320,1925170,2151900,2427330,2761410,3168270,3641600,4243790,4981670,6066080,7026110,8078310
"Africa","Botswana",851.241,918.233,983.654,1214.71,2263.61,3214.86,4551.14,6205.88,7954.11,8647.14,11003.6,12569.9,47.622,49.618,51.52,53.298,56.024,59.319,61.484,63.622,62.745,52.556,46.634,50.728,442308,474639,512764,553541,619351,781472,970347,1151180,1342610,1536540,1630350,1639130
"Africa","Burkina Faso",543.255,617.183,722.512,794.827,854.736,743.387,807.199,912.063,931.753,946.295,1037.65,1217.03,31.975,34.906,37.814,40.697,43.591,46.137,48.122,49.557,50.26,50.324,50.65,52.295,4469980,4713420,4919630,5127940,5433890,5889570,6634600,7586550,8878300,10352800,12251200,14326200
"Africa","Burundi",339.296,379.565,355.203,412.978,464.1,556.103,559.603,621.819,631.7,463.115,446.404,430.071,39.031,40.533,42.045,43.548,44.057,45.91,47.471,48.211,44.736,45.326,47.36,49.58,2445620,2667520,2961920,3330990,3529980,3834420,4580410,5126020,5809240,6121610,7021080,8390500
"Africa","Cameroon",1172.67,1313.05,1399.61,1508.45,1684.15,1783.43,2367.98,2602.66,1793.16,1694.34,1934.01,2042.1,38.523,40.428,42.643,44.799,47.049,49.355,52.961,54.985,54.314,52.199,49.856,50.43,5009070,5359920,5793630,6335510,7021030,7959860,9250830,10780700,12467200,14195800,15930000,17696300
"Africa","Central African Republic",1071.31,1190.84,1193.07,1136.06,1070.01,1109.37,956.753,844.876,747.906,740.506,738.691,706.017,35.463,37.464,39.475,41.478,43.457,46.775,48.295,50.485,49.396,46.066,43.308,44.741,1291700,1392280,1523480,1733640,1927260,2167530,2476970,2840010,3265120,3696510,4048010,4369040
"Africa","Chad",1178.67,1308.5,1389.82,1196.81,1104.1,1133.98,797.908,952.386,1058.06,1004.96,1156.18,1704.06,38.092,39.881,41.716,43.601,45.569,47.383,49.517,51.051,51.724,51.573,50.525,50.651,2682460,2894860,3150420,3495970,3899070,4388260,4875120,5498960,6429420,7562010,8835740,10238800
"Africa","Comoros",1102.99,1211.15,1406.65,1876.03,1937.58,1172.6,1267.1,1315.98,1246.91,1173.62,1075.81,986.148,40.715,42.46,44.467,46.472,48.944,50.939,52.933,54.926,57.939,60.66,62.974,65.152,153936,170928,191689,217378,250027,304739,348643,395114,454429,527982,614382,710960
"Africa","Congo, Dem. Rep.",780.542,905.86,896.315,861.593,904.896,795.757,673.748,672.775,457.719,312.188,241.166,277.552,39.143,40.652,42.122,44.056,45.989,47.804,47.784,47.412,45.548,42.587,44.966,46.462,14100000,15577900,17486400,19941100,23007700,26480900,30646500,35481600,41672100,47799000,55379900,64606800
"Africa","Congo, Rep.",2125.62,2315.06,2464.78,2677.94,3213.15,3259.18,4879.51,4201.19,4016.24,3484.16,3484.06,3632.56,42.111,45.053,48.435,52.04,54.907,55.625,56.695,57.47,56.433,52.962,52.97,55.322,854885,940458,1047920,1179760,1340460,1536770,1774740,2064100,2409070,2800950,3328800,3800610
"Africa","Cote d'Ivoire",1388.59,1500.9,1728.87,2052.05,2378.2,2517.74,2602.71,2156.96,1648.07,1786.27,1648.8,1544.75,40.477,42.469,44.93,47.35,49.801,52.374,53.983,54.655,52.044,47.991,46.832,48.328,2977020,3300000,3832410,4744870,6071700,7459570,9025950,10761100,12772600,14626000,16252700,18013400
"Africa","Djibouti",2669.53,2864.97,3020.99,3020.05,3694.21,3081.76,2879.47,2880.1,2377.16,1895.02,1908.26,2082.48,34.812,37.328,39.693,42.074,44.366,46.519,48.812,50.04,51.604,53.157,53.373,54.791,63149,71851,89898,127617,178848,228694,305991,311025,384156,417908,447416,496374
"Africa","Egypt",1418.82,1458.92,1693.34,1814.88,2024.01,2785.49,3503.73,3885.46,3794.76,4173.18,4754.6,5581.18,41.893,44.444,46.992,49.293,51.137,53.319,56.006,59.797,63.674,67.217,69.806,71.338,22223300,25009700,28173300,31681200,34807400,38783900,45681800,52799100,59402200,66134300,73312600,80264500
"Africa","Equatorial Guinea",375.643,426.096,582.842,915.596,672.412,958.567,927.825,966.897,1132.06,2814.48,7703.5,12154.1,34.482,35.983,37.485,38.987,40.516,42.024,43.662,45.664,47.545,48.245,49.348,51.579,216964,232922,249220,259864,277603,192675,285483,341244,387838,439971,495627,551201
"Africa","Eritrea",328.941,344.162,380.996,468.795,514.324,505.754,524.876,521.134,582.859,913.471,765.35,641.37,35.928,38.047,40.158,42.189,44.142,44.535,43.89,46.453,49.991,53.378,55.24,58.04,1438760,1542610,1666620,1820320,2260190,2512640,2637300,2915960,3668440,4058320,4414860,4906580
"Africa","Ethiopia",362.146,378.904,419.456,516.119,566.244,556.808,577.861,573.741,421.353,515.889,530.054,690.806,34.078,36.667,40.059,42.115,43.515,44.51,44.916,46.684,48.091,49.402,50.725,52.947,20860900,22815600,25145400,27860300,30770400,34617800,38111800,42999500,52088600,59861300,67946800,76511900
"Africa","Gabon",4293.48,4976.2,6631.46,8358.76,11401.9,21745.6,15113.4,11864.4,13522.2,14722.8,12521.7,13206.5,37.003,38.999,40.489,44.598,48.69,52.79,56.564,60.19,61.366,60.461,56.761,56.735,420702,434904,455661,489004,537977,706367,753874,880397,985739,1126190,1299300,1454870
"Africa","Gambia",485.231,520.927,599.65,734.783,756.087,884.755,835.81,611.659,665.624,653.73,660.586,752.75,30,32.065,33.896,35.857,38.308,41.842,45.58,49.265,52.644,55.861,58.041,59.448,284320,323150,374020,439593,517101,608274,715523,848406,1025380,1235770,1457770,1688360
"Africa","Ghana",911.299,1043.56,1190.04,1125.7,1178.22,993.224,876.033,847.006,925.06,1005.25,1111.98,1327.61,43.149,44.779,46.452,48.072,49.875,51.756,53.744,55.729,57.501,58.556,58.453,60.022,5581000,6391290,7355250,8490210,9354120,10538100,11400300,14168100,16278700,18418300,20550800,22873300
"Africa","Guinea",510.196,576.267,686.374,708.76,741.666,874.686,857.25,805.572,794.348,869.45,945.584,942.654,33.609,34.558,35.753,37.197,38.842,40.762,42.891,45.552,48.576,51.455,53.676,56.007,2664250,2876730,3140000,3451420,3811390,4227030,4710500,5650260,6990570,8048830,8807820,9947810
"Africa","Guinea-Bissau",299.85,431.79,522.034,715.581,820.225,764.726,838.124,736.415,745.54,796.664,575.705,579.232,32.5,33.489,34.488,35.492,36.486,37.465,39.327,41.245,43.266,44.873,45.504,46.388,580653,601095,627820,601287,625361,745228,825987,927524,1050940,1193710,1332460,1472040
"Africa","Kenya",853.541,944.438,896.966,1056.74,1222.36,1267.61,1348.23,1361.94,1341.92,1360.49,1287.51,1463.25,42.27,44.686,47.949,50.654,53.559,56.155,58.766,59.339,59.285,54.407,50.992,54.11,6464050,7454780,8678560,10191500,12044800,14500400,17661500,21198100,25020500,28263800,31386800,35610200
"Africa","Lesotho",298.846,335.997,411.801,498.639,496.582,745.37,797.263,773.993,977.486,1186.15,1275.18,1569.33,42.138,45.047,47.747,48.492,49.767,52.208,55.078,57.18,59.685,55.558,44.593,42.592,748747,813338,893143,996380,1116780,1251520,1411810,1599200,1803200,1982820,2046770,2012650
"Africa","Liberia",575.573,620.97,634.195,713.604,803.005,640.322,572.2,506.114,636.623,609.174,531.482,414.507,38.48,39.486,40.502,41.536,42.614,43.764,44.852,46.027,40.802,42.221,43.753,45.678,863308,975950,1112800,1279410,1482630,1703620,1956880,2269410,1912970,2200720,2814650,3193940
"Africa","Libya",2387.55,3448.28,6757.03,18772.8,21011.5,21951.2,17364.3,11770.6,9640.14,9467.45,9534.68,12057.5,42.723,45.289,47.808,50.227,52.773,57.442,62.155,66.234,68.755,71.555,72.737,73.952,1019730,1201580,1441860,1759220,2183880,2721780,3344070,3799840,4364500,4759670,5368580,6036910
"Africa","Madagascar",1443.01,1589.2,1643.39,1634.05,1748.56,1544.23,1302.88,1155.44,1040.68,986.296,894.637,1044.77,36.681,38.865,40.848,42.881,44.851,46.881,48.969,49.35,52.214,54.978,57.286,59.443,4762910,5181680,5703320,6334560,7082430,8007170,9171480,10568600,12210400,14165100,16473500,19167700
"Africa","Malawi",369.165,416.37,427.901,495.515,584.622,663.224,632.804,635.517,563.2,692.276,665.423,759.35,36.256,37.207,38.41,39.487,41.766,43.767,45.642,47.457,49.42,47.495,45.009,48.303,2917800,3221240,3628610,4147250,4731000,5637250,6502820,7824750,10014200,10420000,11824500,13327100
"Africa","Mali",452.337,490.382,496.174,545.01,581.369,686.395,618.014,684.172,739.014,790.258,951.41,1042.58,33.685,35.307,36.936,38.487,39.977,41.714,43.916,46.364,48.388,49.903,51.818,54.467,3838170,4241880,4690370,5212420,5828160,6491650,6998260,7634010,8416220,9384980,10580200,12031800
"Africa","Mauritania",743.116,846.12,1055.9,1421.15,1586.85,1497.49,1481.15,1421.6,1361.37,1483.14,1579.02,1803.15,40.543,42.338,44.248,46.289,48.437,50.852,53.599,56.145,58.333,60.43,62.247,64.164,1022560,1076850,1146760,1230540,1332790,1456690,1622140,1841240,2119460,2444740,2828860,3270060
"Africa","Mauritius",1967.96,2034.04,2529.07,2475.39,2575.48,3710.98,3688.04,4783.59,6058.25,7425.71,9021.82,10957,50.986,58.089,60.246,61.557,62.944,64.93,66.711,68.74,69.745,70.736,71.954,72.801,516556,609816,701016,789309,851334,913025,992040,1042660,1096200,1149820,1200210,1250880
"Africa","Morocco",1688.2,1642,1566.35,1711.04,1930.19,2370.62,2702.62,2755.05,2948.05,2982.1,3258.5,3820.18,42.873,45.423,47.924,50.335,52.862,55.73,59.65,62.677,65.393,67.66,69.615,71.164,9939220,11406400,13056600,14770300,16660700,18396900,20198700,22987400,25798200,28529500,31167800,33757200
"Africa","Mozambique",468.526,495.587,556.686,566.669,724.918,502.32,462.211,389.876,410.897,472.346,633.618,823.686,31.286,33.779,36.161,38.113,40.328,42.495,42.795,42.861,44.284,46.344,44.026,42.082,6446320,7038040,7788940,8680910,9809600,11127900,12587200,12892000,13160700,16603300,18473800,19951700
"Africa","Namibia",2423.78,2621.45,3173.22,3793.69,3746.08,3876.49,4191.1,3693.73,3804.54,3899.52,4072.32,4811.06,41.725,45.226,48.386,51.159,53.867,56.437,58.968,60.835,61.999,58.909,51.479,52.906,485831,548080,621392,706640,821782,977026,1099010,1278180,1554250,1774770,1972150,2055080
"Africa","Niger",761.879,835.523,997.766,1054.38,954.209,808.897,909.722,668.3,581.183,580.305,601.075,619.677,37.444,38.598,39.487,40.118,40.546,41.291,42.598,44.555,47.391,51.313,54.496,56.867,3379470,3692180,4076010,4534060,5060260,5682090,6437190,7332640,8392820,9666250,11140700,12894900
"Africa","Nigeria",1077.28,1100.59,1150.93,1014.51,1698.39,1981.95,1576.97,1385.03,1619.85,1624.94,1615.29,2013.98,36.324,37.802,39.36,41.04,42.821,44.514,45.826,46.886,47.472,47.464,46.608,46.859,33119100,37173300,41871400,47287800,53740100,62209200,73039400,81551500,93364200,106208000,119901000,135031000
"Africa","Reunion",2718.89,2769.45,3173.72,4021.18,5047.66,4319.8,5267.22,5303.38,6101.26,6071.94,6316.17,7670.12,52.724,55.09,57.666,60.542,64.274,67.064,69.885,71.913,73.615,74.772,75.744,76.442,257700,308700,358900,414024,461633,492095,517810,562035,622191,684810,743981,798094
"Africa","Rwanda",493.324,540.289,597.473,510.964,590.581,670.081,881.571,847.991,737.069,589.945,785.654,863.088,40,41.5,43,44.1,44.6,45,46.218,44.02,23.599,36.087,43.413,46.242,2534930,2822080,3051240,3451080,3992120,4657070,5507560,6349360,7290200,7212580,7852400,8860590
"Africa","Sao Tome and Principe",879.584,860.737,1071.55,1384.84,1532.99,1737.56,1890.22,1516.53,1428.78,1339.08,1353.09,1598.44,46.471,48.945,51.893,54.425,56.48,58.55,60.351,61.728,62.742,63.306,64.337,65.528,60011,61325,65345,70787,76595,86796,98593,110812,125911,145608,170372,199579
"Africa","Senegal",1450.36,1567.65,1654.99,1612.4,1597.71,1561.77,1518.48,1441.72,1367.9,1392.37,1519.64,1712.47,37.278,39.329,41.454,43.563,45.815,48.879,52.379,55.769,58.196,60.187,61.6,63.062,2755590,3054550,3430240,3965840,4588700,5260860,6147780,7171350,8307920,9535310,10870000,12267500
"Africa","Sierra Leone",879.788,1004.48,1116.64,1206.04,1353.76,1348.29,1465.01,1294.45,1068.7,574.648,699.49,862.541,30.331,31.57,32.767,34.113,35.4,36.788,38.445,40.006,38.333,39.897,41.012,42.568,2143250,2295680,2467900,2662190,2879010,3140900,3464520,3868900,4260880,4578210,5359090,6144560
"Africa","Somalia",1135.75,1258.15,1369.49,1284.73,1254.58,1450.99,1176.81,1093.24,926.96,930.596,882.082,926.141,32.978,34.977,36.981,38.977,40.973,41.974,42.955,44.501,39.658,43.795,45.936,48.159,2526990,2780420,3080150,3428840,3840160,4353670,5828890,6921860,6099800,6633510,7753310,9118770
"Africa","South Africa",4725.3,5487.1,5768.73,7114.48,7765.96,8028.65,8568.27,7825.82,7225.07,7479.19,7710.95,9269.66,45.009,47.985,49.951,51.927,53.696,55.527,58.161,60.834,61.888,60.236,53.365,49.339,14264900,16151500,18356700,20997300,23935800,27129900,31140000,35933400,39964200,42835000,44433600,43997800
"Africa","Sudan",1615.99,1770.34,1959.59,1688,1659.65,2202.99,1895.54,1507.82,1492.2,1632.21,1993.4,2602.39,38.635,39.624,40.87,42.858,45.083,47.8,50.338,51.744,53.556,55.373,56.369,58.556,8504670,9753390,11183200,12716100,14597000,17105000,20367100,24726000,28227600,32160700,37090300,42292900
"Africa","Swaziland",1148.38,1244.71,1856.18,2613.1,3364.84,3781.41,3895.38,3984.84,3553.02,3876.77,4128.12,4513.48,41.407,43.424,44.992,46.633,49.552,52.537,55.561,57.678,58.474,54.289,43.869,39.613,290243,326741,370006,420690,480105,551425,649901,779348,962344,1054490,1130270,1133070
"Africa","Tanzania",716.65,698.536,722.004,848.219,915.985,962.492,874.243,831.822,825.682,789.186,899.074,1107.48,41.215,42.974,44.246,45.757,47.62,49.919,50.608,51.535,50.44,48.466,49.651,52.517,8322920,9452830,10864000,12607300,14706600,17129600,19844400,23040600,26605500,30686900,34593800,38139600
"Africa","Togo",859.809,925.908,1067.53,1477.6,1649.66,1532.78,1344.58,1202.2,1034.3,982.287,886.221,882.97,38.596,41.208,43.922,46.769,49.759,52.887,55.471,56.941,58.061,58.39,57.561,58.42,1219110,1357440,1528100,1735550,2056350,2308580,2644760,3154260,3747550,4320890,4977380,5701580
"Africa","Tunisia",1468.48,1395.23,1660.3,1932.36,2753.29,3120.88,3560.23,3810.42,4332.72,4876.8,5722.9,7092.92,44.6,47.1,49.579,52.053,55.602,59.837,64.048,66.894,70.001,71.973,73.042,73.923,3647740,3950850,4286550,4786990,5303510,6005060,6734100,7724980,8523080,9231670,9770580,10276200
"Africa","Uganda",734.753,774.371,767.272,908.919,950.736,843.733,682.266,617.724,644.171,816.559,927.721,1056.38,39.978,42.571,45.344,48.051,51.016,50.35,49.849,51.509,48.825,44.578,47.813,51.542,5824800,6675500,7688800,8900290,10190300,11457800,12939400,15283000,18252200,21210300,24739900,29170400
"Africa","Zambia",1147.39,1311.96,1452.73,1777.08,1773.5,1588.69,1408.68,1213.32,1210.88,1071.35,1071.61,1271.21,42.038,44.077,46.023,47.768,50.107,51.386,51.821,50.821,46.1,40.238,39.193,42.384,2672000,3016000,3421000,3900000,4506500,5216550,6100410,7272410,8381160,9417790,10595800,11746000
"Africa","Zimbabwe",406.884,518.764,527.272,569.795,799.362,685.588,788.855,706.157,693.421,792.45,672.039,469.709,48.451,50.469,52.358,53.995,55.635,57.674,60.363,62.351,60.377,46.809,39.989,43.487,3080910,3646340,4277740,4995430,5861140,6642110,7636520,9216420,10704300,11404900,11926600,12311100
"Americas","Argentina",5911.32,6856.86,7133.17,8052.95,9443.04,10079,8997.9,9139.67,9308.42,10967.3,8797.64,12779.4,62.485,64.399,65.142,65.634,67.065,68.481,69.942,70.774,71.868,73.275,74.34,75.32,17877000,19610500,21283800,22934200,24779800,26983800,29341400,31620900,33958900,36203500,38331100,40301900
"Americas","Bolivia",2677.33,2127.69,2180.97,2586.89,2980.33,3548.1,3156.51,2753.69,2961.7,3326.14,3413.26,3822.14,40.414,41.89,43.428,45.032,46.714,50.023,53.859,57.251,59.957,62.05,63.883,65.554,2883320,3211740,3593920,4040660,4565870,5079720,5642220,6156370,6893450,7693190,8445130,9119150
"Americas","Brazil",2108.94,2487.37,3336.59,3429.86,4985.71,6660.12,7030.84,7807.1,6950.28,7957.98,8131.21,9065.8,50.917,53.285,55.665,57.632,59.504,61.489,63.336,65.205,67.057,69.388,71.006,72.39,56602600,65551200,76039400,88049800,100840000,114314000,128963000,142938000,155976000,168547000,179914000,190011000
"Americas","Canada",11367.2,12490,13462.5,16076.6,18970.6,22090.9,22898.8,26626.5,26342.9,28954.9,33329,36319.2,68.75,69.96,71.3,72.13,72.88,74.21,75.76,76.86,77.95,78.61,79.77,80.653,14785600,17010200,18985800,20819800,22284500,23796400,25201900,26549700,28523500,30305800,31902300,33390100
"Americas","Chile",3939.98,4315.62,4519.09,5106.65,5494.02,4756.76,5095.67,5547.06,7596.13,10118.1,10778.8,13171.6,54.745,56.074,57.924,60.523,63.441,67.052,70.565,72.492,74.126,75.816,77.86,78.553,6377620,7048430,7961260,8858910,9717520,10599800,11487100,12463400,13573000,14599900,15497000,16284700
"Americas","Colombia",2144.12,2323.81,2492.35,2678.73,3264.66,3815.81,4397.58,4903.22,5444.65,6117.36,5755.26,7006.58,50.643,55.118,57.863,59.963,61.623,63.837,66.653,67.768,68.421,70.313,71.682,72.889,12350800,14486000,17009900,19764000,22542900,25094400,27764600,30964200,34202700,37657800,41008200,44227600
"Americas","Costa Rica",2627.01,2990.01,3460.94,4161.73,5118.15,5926.88,5262.73,5629.92,6160.42,6677.05,7723.45,9645.06,57.206,60.026,62.842,65.424,67.849,70.75,73.45,74.752,75.713,77.26,78.123,78.782,926317,1112300,1345190,1588720,1834800,2108460,2424370,2799810,3173220,3518110,3834930,4133880
"Americas","Cuba",5586.54,6092.17,5180.76,5690.27,5305.45,6380.49,7316.92,7532.92,5592.84,5431.99,6340.65,8948.1,59.421,62.325,65.246,68.29,70.723,72.649,73.717,74.174,74.414,76.151,77.158,78.273,6007800,6640750,7254370,8139330,8831350,9537990,9789220,10239800,10723300,10983000,11227000,11417000
"Americas","Dominican Republic",1397.72,1544.4,1662.14,1653.72,2189.87,2681.99,2861.09,2899.84,3044.21,3614.1,4563.81,6025.37,45.928,49.828,53.459,56.751,59.631,61.788,63.727,66.046,68.457,69.957,70.847,72.235,2491350,2923190,3453430,4049150,4671330,5302800,5968350,6655300,7351180,7992360,8650320,9319620
"Americas","Ecuador",3522.11,3780.55,4086.11,4579.07,5280.99,6679.62,7213.79,6481.78,7103.7,7429.46,5773.04,6873.26,48.357,51.356,54.64,56.678,58.796,61.31,64.342,67.231,69.613,72.312,74.173,74.994,3548750,4058380,4681710,5432420,6298650,7278870,8365850,9545160,10748400,11911800,12921200,13755700
"Americas","El Salvador",3048.3,3421.52,3776.8,4358.6,4520.25,5138.92,4098.34,4140.44,4444.23,5154.83,5351.57,5728.35,45.262,48.57,52.307,55.855,58.207,56.696,56.604,63.154,66.798,69.535,70.734,71.878,2042860,2355800,2747690,3232930,3790900,4282590,4474870,4842190,5274650,5783440,6353680,6939690
"Americas","Guatemala",2428.24,2617.16,2750.36,3242.53,4031.41,4879.99,4820.49,4246.49,4439.45,4684.31,4858.35,5186.05,42.023,44.142,46.954,50.016,53.738,56.029,58.137,60.782,63.373,66.322,68.978,70.259,3146380,3640880,4208860,4690770,5149580,5703430,6395630,7326410,8486950,9803880,11178600,12572900
"Americas","Haiti",1840.37,1726.89,1796.59,1452.06,1654.46,1874.3,2011.16,1823.02,1456.31,1341.73,1270.36,1201.64,37.579,40.696,43.59,46.243,48.042,49.923,51.461,53.636,55.089,56.671,58.137,60.916,3201490,3507700,3880130,4318140,4698300,4908550,5198400,5756200,6326680,6913540,7607650,8502810
"Americas","Honduras",2194.93,2220.49,2291.16,2538.27,2529.84,3203.21,3121.76,3023.1,3081.69,3160.45,3099.73,3548.33,41.912,44.665,48.041,50.924,53.884,57.402,60.909,64.492,66.399,67.659,68.565,70.198,1517450,1770390,2090160,2500690,2965150,3055240,3669450,4372200,5077350,5867960,6677330,7483760
"Americas","Jamaica",2898.53,4756.53,5246.11,6124.7,7433.89,6650.2,6068.05,6351.24,7404.92,7121.92,6994.77,7320.88,58.53,62.61,65.61,67.51,69,70.11,71.21,71.77,71.766,72.262,72.047,72.567,1426100,1535090,1665130,1861100,1997620,2156810,2298310,2326610,2378620,2531310,2664660,2780130
"Americas","Mexico",3478.13,4131.55,4581.61,5754.73,6809.41,7674.93,9611.15,8688.16,9472.38,9767.3,10742.4,11977.6,50.789,55.19,58.299,60.11,62.361,65.032,67.405,69.498,71.455,73.67,74.902,76.195,30144300,35015500,41121500,47995600,55984300,63760000,71640900,80122500,88111000,95895100,102480000,108701000
"Americas","Nicaragua",3112.36,3457.42,3634.36,4643.39,4688.59,5486.37,3470.34,2955.98,2170.15,2253.02,2474.55,2749.32,42.314,45.432,48.632,51.884,55.151,57.47,59.298,62.008,65.843,68.426,70.836,72.899,1165790,1358830,1590600,1865490,2182910,2554600,2979420,3344350,4017940,4609570,5146850,5675360
